13955,14002,13907
969,1063,1017
2562,2621,2681
2213,2324,2327
2324,2438,2327
2324,2213,2210
2502,2438,2560
2621,2502,2560
2502,2621,2562
1548,1496,1597
1496,1547,1597
1547,1496,1443
1656,1548,1597
1707,1656,1597
1763,1656,1707
1656,1763,1708
1660,1713,1608
1557,1660,1608
1757,1660,1708
1757,1809,1713
1660,1757,1713
1982,1874,1929
1757,1874,1809
1809,1874,1877
1874,1982,1877
1251,1249,1155
971,919,1012
919,971,923
1058,971,1012
923,971,972
971,1058,972
838,919,923
863,838,788
919,838,863
666,626,577
577,626,547
626,588,547
114,151,164
151,114,103
103,114,74
114,88,74
106,140,119
188,161,214
140,161,119
188,241,213
241,188,214
270,241,214
241,270,301
160,137,188
161,137,119
137,161,188
242,189,213
189,160,213
189,242,216
869,959,912
476,513,577
151,203,164
132,151,103
1795,1744,1690
1533,1483,1432
1483,1533,1587
821,865,779
548,585,624
865,823,779
365,332,301
332,365,398
433,365,396
365,433,398
323,296,358
720,804,762
681,720,762
410,445,376
374,443,410
312,348,289
348,312,376
290,254,232
222,254,281
146,117,98
146,168,117
320,381,349
290,320,349
348,320,289
320,348,381
60,85,98
85,60,49
253,312,289
312,253,282
886,799,841
377,344,311
248,277,309
218,277,248
277,218,247
6,8,25
8,35,25
4,6,31
28,42,62
35,28,62
28,8,10
8,28,35
799,755,841
408,442,477
442,408,373
443,408,477
408,443,374
409,442,373
341,409,373
3,19,36
20,5,3
5,26,7
5,20,26
221,208,166
199,221,166
168,144,117
144,97,117
177,199,147
33,9,7
39,13,11
57,33,72
97,57,72
13,37,15
37,13,39
126,81,107
126,176,149
99,126,149
126,99,81
102,147,112
70,102,112
41,76,51
41,70,76
17,59,47
99,59,81
3966,3896,4031
3429,3554,3490
3554,3617,3490
3617,3554,3695
4431,4299,4364
1676,1622,1571
1466,1518,1569
1518,1622,1569
1518,1468,1571
1622,1518,1571
1468,1520,1571
1677,1572,1625
1102,1153,1058
1153,1105,1058
1148,1054,1099
1054,1148,1102
1322,1272,1224
1272,1177,1224
1027,1075,1121
2504,2445,2387
1163,1115,1067
1162,1257,1207
1113,1163,1067
1020,1113,1067
1270,1220,1318
846,889,935
2815,2755,2694
2755,2636,2694
2636,2755,2697
2350,2467,2409
2583,2524,2464
2467,2524,2585
2521,2583,2464
1842,1788,1735
1937,2047,1995
2047,1937,1992
2272,2215,2330
1936,2045,1992
1459,1410,1358
2158,2272,2217
2272,2158,2215
2055,2002,1944
1999,2055,1944
1940,1884,1995
1884,1940,1830
1795,1849,1905
2017,1962,1905
1908,1962,2019
1959,2017,1905
1959,1903,2014
1849,1959,1905
1959,1849,1903
2067,2126,2014
1347,1394,1443
1394,1347,1294
1651,1599,1703
1599,1651,1547
2526,2467,2585
2467,2526,2409
3296,3171,3228
3295,3233,3359
3295,3228,3233
3295,3296,3228
3233,3297,3359
5088,5158,5225
4214,4281,4148
4347,4214,4282
4214,4347,4281
4077,4144,4209
6493,6423,6562
4086,4020,3955
5039,4900,4971
6617,6686,6545
6686,6617,6758
7319,7460,7390
7748,7820,7679
8725,8865,8798
9003,8865,8937
8463,8322,8391
6635,6493,6562
6335,6406,6265
6475,6617,6545
6617,6475,6547
6321,6525,6389
6321,6393,6525
5969,5975,6046
5975,5969,5900
6111,5969,6046
5972,5969,6111
5969,5763,5900
6250,6321,6389
6321,6250,6181
6181,6250,6046
6250,6111,6046
6606,6746,6677
6746,6606,6676
6605,6673,6745
6673,6752,6745
6752,6673,6604
6393,6533,6525
6533,6605,6525
6533,6393,6463
6533,6673,6605
6604,6533,6463
6673,6533,6604
6112,6181,6046
5975,6112,6046
3298,3235,3173
10892,11025,10763
10762,10892,10763
9073,9076,9209
12003,12071,12066
11942,12003,12066
12003,11942,11884
7169,7303,7310
7303,7381,7310
7099,7303,7169
6816,6886,6957
6886,6816,6746
7174,7303,7099
1818,1767,1714
1818,1761,1866
1761,1818,1714
1761,1711,1816
1711,1605,1661
1451,1503,1400
1554,1451,1498
1503,1554,1604
1554,1503,1451
1111,1159,1206
1159,1296,1206
1296,1255,1206
15378,15366,15384
15384,15366,15371
15366,15353,15371
15360,15348,15337
15348,15360,15370
15361,15348,15370
15348,15361,15338
15360,15381,15370
15381,15389,15370
15389,15381,15398
15381,15388,15398
15322,15347,15337
15347,15360,15337
15389,15397,15380
15380,15397,15391
15397,15407,15391
